Shape_Leng,起点_1,起点_12,终点_1,终点_12,数量,time,日期,小时
917.517601876,113.897841725,22.561899668,113.889771842,22.563447879,3,2021-11-20,20211120,19
534.555328081,113.897835614,22.749463443,113.893356172,22.751059071,4,2021-11-20,20211120,23
2459.77410353,114.026970396,22.65769147,114.038586302,22.640344067,3,2021-11-20,20211120,11
539.804043204,114.060079716,22.569515501,114.055588238,22.571203286,3,2021-11-20,20211120,18
759.086415261,114.084413362,22.546650002,114.078104212,22.544260592,3,2021-11-20,20211120,9
759.086415261,114.084413362,22.546650002,114.078104212,22.544260592,3,2021-11-20,20211120,9
673.214823187,114.244634618,22.719939813,114.239246733,22.717406279,4,2021-11-20,20211120,16
673.214823187,114.244634618,22.719939813,114.239246733,22.717406279,4,2021-11-20,20211120,16
1006.43491714,114.131198544,22.601493268,114.122214798,22.600555712,3,2021-11-20,20211120,17
770.236036648,113.900525193,22.752008305,113.903216358,22.757886523,3,2021-11-20,20211120,12
1042.7788578,114.092532881,22.542335542,114.084413362,22.546650002,8,2021-11-20,20211120,1
899.483032644,113.896052377,22.781917061,113.888880992,22.778484468,4,2021-11-20,20211120,17
723.394390522,113.786151322,22.717798888,113.779873079,22.719345804,3,2021-11-20,20211120,20
2929.34199553,113.880778434,22.579210323,113.883497734,22.555040591,3,2021-11-20,20211120,11
1949.92310919,114.097924347,22.625662779,114.115036629,22.622209516,3,2021-11-20,20211120,18
1066.99770156,114.111455361,22.54714486,114.117748354,22.55382192,7,2021-11-20,20211120,11
1066.99770156,114.111455361,22.54714486,114.117748354,22.55382192,7,2021-11-20,20211120,11
1066.99770156,114.111455361,22.54714486,114.117748354,22.55382192,7,2021-11-20,20211120,11
1066.99770156,114.111455361,22.54714486,114.117748354,22.55382192,7,2021-11-20,20211120,11
1066.99770156,114.111455361,22.54714486,114.117748354,22.55382192,7,2021-11-20,20211120,11
1066.99770156,114.111455361,22.54714486,114.117748354,22.55382192,7,2021-11-20,20211120,11
1066.99770156,114.111455361,22.54714486,114.117748354,22.55382192,7,2021-11-20,20211120,11
1066.99770156,114.111455361,22.54714486,114.117748354,22.55382192,7,2021-11-20,20211120,11
1066.99770156,114.111455361,22.54714486,114.117748354,22.55382192,7,2021-11-20,20211120,11
4924.06329871,114.041230069,22.716209147,114.011763926,22.746636961,4,2021-11-20,20211120,8
1744.49545386,114.017135353,22.630031244,114.03232397,22.63359265,3,2021-11-20,20211120,14
1744.49545386,114.017135353,22.630031244,114.03232397,22.63359265,3,2021-11-20,20211120,14
1744.49545386,114.017135353,22.630031244,114.03232397,22.63359265,3,2021-11-20,20211120,14
1005.44929296,114.043966187,22.529458308,114.0493401,22.536163604,3,2021-11-20,20211120,10
898.809636337,113.920230208,22.760652089,113.913064365,22.75722123,3,2021-11-20,20211120,22
1009.86490072,113.869099816,22.78339888,113.860081316,22.784303946,3,2021-11-20,20211120,7
